,Unnamed: 0,films,status,tagline,pg_val,original_language,production_companies,spoken_languages
20096,20096,Beauty for Sale,Released,Beauty for Sale,False,en,Metro-Goldwyn-Mayer,English
20097,20097,Shikari,Released,Shikari,False,hi,,Hindi
20098,20098,Cult Following,Released,Cult Following,F,en,,
20099,20099,DJ Tillu,Released,Atluntadhi Manathoni,F,te,"Sithara Entertainments, Fortune Four Cinemas",Telugu
20100,20100,The Red Maple Leaf,Released,The Red Maple Leaf,F,en,In Your Ear Productions,English
20101,20101,Siew Lup,Released,Siew Lup,False,zh,MM2 Entertainment,"Mandarin, English, German"
20102,20102,Meri Jung,Released,Meri Jung,F,hi,,Hindi
20103,20103,Pawankhind,Released,Pawankhind,False,mr,Almonds Creations,Marathi
20104,20104,Mashaal,Released,Mashaal,F,hi,Yash Raj Films,Hindi
20105,20105,Dick Barton Strikes Back,Released,With one bound Dick was free!,False,en,Hammer Film Productions,English
20106,20106,Where Are You,Released,Where Are You,F,en,Carte Blanche,English
20107,20107,Gunga Jumna,Released,Gunga Jumna,F,hi,,Hindi
20108,20108,Hillwalkers,Released,Hillwalkers,F,en,"Fatal Flaw, A.R.C. Films, Attrition Films",
20109,20109,Boulevard des assassins,Released,Boulevard des assassins,F,fr,France 3,French
20110,20110,Backstreet Dreams,Released,Backstreet Dreams,False,en,Trimark Pictures,English
20111,20111,The Thing Inside Us,Released,The Thing Inside Us,F,en,,
20112,20112,Arjuna Phalguna,Released,Arjuna Phalguna,False,te,Matinee Entertainment,Telugu
20113,20113,The Islands,Released,WAR. COURAGE. FAITH. BETRAYAL.,False,en,,
20114,20114,Ruler,Released,Ruler,False,te,"CK Entertainments, Happy Movies",Telugu
20115,20115,"Dawn, Her Dad & The Tractor",Released,"Dawn, Her Dad & The Tractor",F,en,,English
20116,20116,Balwaan,Released,One man army against crime.,F,hi,Jayraj Productions,Hindi
20117,20117,Vai Dar Nada,Released,Vai Dar Nada,F,pt,"VIS, Casa de Cinema de Porto Alegre",Portuguese
20118,20118,Blue Call,Released,Your life. Your solution.,F,en,Safier Entertainment,English
