,Name,ID,Gender,Age,Genres,Popularity,Followers
110,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,male,24,"['melodic rap', 'rap', 'trap']",78,7900124
111,Diplo,5fMUXHkw8R8eOP2RNVYEZX,male,41,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop dance']",75,2599284
112,James Arthur,4IWBUUAFIplrNtaOHcJPRM,male,32,"['pop', 'talent show', 'uk pop']",80,14765879
113,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,female,29,"['dance pop', 'pop', 'uk pop']",70,8393377
114,Big Sean,0c173mlxpT3dSFRgMO8XPh,male,32,"['detroit hip hop', 'hip hop', 'pop rap', 'r&b', 'rap', 'trap']",74,11230322
115,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,male,44,"['hip hop', 'miami hip hop', 'pop rap', 'rap']",74,10823060
116,Fetty Wap,6PXS4YHDkKvl1wkIl4V8DL,male,30,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",69,4598982
117,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,mixed,27,"['electro', 'filter house', 'rock']",79,9765143
118,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,male,27,"['atl hip hop', 'melodic rap', 'rap', 'trap']",83,6377463
119,Myke Towers,7iK8PXO48WeuP03g8YR51W,male,26,"['reggaeton', 'trap latino', 'urbano latino']",85,13527025
120,French Montana,6vXTefBL93Dj5IqAWq6OTv,male,35,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",72,5283619
121,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,male,31,"['east coast hip hop', 'hip hop', 'rap', 'trap']",80,13232770
122,SZA,7tYKF4w9nC0nq9CsPZTHyP,female,29,"['pop', 'r&b', 'rap']",87,16328700
123,Arcángel,4SsVbpTthjScTS7U2hmr1X,male,34,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",82,12868016
124,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,mixed,9,"['boy band', 'pop']",75,9825640
125,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,mixed,10,"['metropopolis', 'modern rock', 'pop']",72,5522452
126,Shakira,0EmeFodog0BfCgMzAIvKQp,female,43,"['colombian pop', 'dance pop', 'latin pop', 'pop']",84,32459109
127,Wizkid,3tVQdUvClmAT7URs9V3rsp,male,30,"['afrobeats', 'afropop', 'azonto', 'azontobeats', 'nigerian hip hop', 'nigerian pop']",74,4621572
128,Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,female,23,['pop'],67,8937662
129,Jorge Celedón,7rNbdH4pgrnwguvzxhA2Ek,mixed,15,"['vallenato', 'vallenato moderno']",58,1876131
130,Reik,0vR2qb8m9WHeZ5ByCbimq2,mixed,17,"['latin arena pop', 'latin pop', 'mexican pop', 'reggaeton', 'urbano latino']",76,8694277
131,Yandel,0eHQ9o50hj6ZDNBt6Ys1sD,male,43,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",76,7470549
