,names,Run Time,imdb_score,val,Writer,film
99,Casino Royale,"$150,000,000 (estimated)",8,648K,Neal Purvis,Meat the Jones
100,The Fifth Element,"$93,000,000 (estimated)",7.6,467K,Luc Besson,Waking
101,Deadpool,"$58,000,000 (estimated)",8,1M,Rhett Reese,Cowboy
102,Doctor Strange,"$165,000,000 (estimated)",7.5,715K,Jon Spaihts,The First Christmas
103,Enola Holmes,"$20,000,000 (estimated)",6.6,164K,Jack Thorne,Nobody's Home
104,Divergent,"$85,000,000 (estimated)",6.6,454K,Evan Daugherty,WrestleCon SuperShow 2016
105,The Accountant,2 hours 8 minutes,7.3,291K,Bill Dubuque,Initiations 19
106,Spider-Man,"$139,000,000 (estimated)",7.4,799K,Stan Lee,Comedy of Lysistrata
107,Operation Fortune: Ruse de guerre,1 hour 54 minutes,7.2,317,Ivan Atkinson,The Barbershop
108,Zack Snyder's Justice League,4 hours 2 minutes,8,381K,Jerry Siegel,Le marchand de plaisirs
109,Die Hard,"$28,000,000 (estimated)",8.2,861K,Roderick Thorp,"Remine, el último movimiento obrero"
110,Mission: Impossible III,"$150,000,000 (estimated)",6.9,352K,Alex Kurtzman,À l’ancienne
111,Blade Runner,MVR 20 (estimated),8.1,753K,Hampton Fancher,Hip Hoppers
112,Mad Max: Fury Road,"$150,000,000 (estimated)",8.1,975K,George Miller,Night of Horror
113,K.G.F: Chapter 2,2 hours 48 minutes,8.5,109K,Prashanth Neel,Who Pays the Bill?
114,White Elephant,1 hour 32 minutes,5,3.1K,Jesse V. Johnson,An Encounter
115,Blacklight,1 hour 44 minutes,4.7,13K,Nick May,Live Bait
116,Pirates of the Caribbean: Dead Man's Chest,"$225,000,000 (estimated)",7.3,705K,Ted Elliott,Night and Fog
117,Spider-Man: Homecoming,"$175,000,000 (estimated)",7.4,634K,Jonathan Goldstein,The Beautiful Days of Aranjuez
118,Resident Evil: Welcome to Raccoon City,"$25,000,000 (estimated)",5.2,46K,Johannes Roberts,The Marriage of Molly-O
119,Captain Marvel,"$160,000,000 (estimated)",6.8,539K,Ryan Fleck,The Believer
120,Aliens,"$18,500,000 (estimated)",8.4,703K,James Cameron,The Power of Potential
121,1917,"$95,000,000 (estimated)",8.2,557K,Sam Mendes,Münchener Freiheit - Von Anfang an - Live  & mehr
122,Star Wars: Episode VII - The Force Awakens,"$245,000,000 (estimated)",7.8,914K,Lawrence Kasdan,Shane's World 30: Keepin' It Real
123,The Matrix,"$63,000,000 (estimated)",8.7,1.9M,Lilly Wachowski,Playing with Fire
124,The Flash,not-released,no-rating,0,Christina Hodson,Pass On
125,Gladiator,"$103,000,000 (estimated)",8.5,1.5M,David Franzoni,Amnehsa
126,Kingsman: The Secret Service,"$81,000,000 (estimated)",7.7,655K,Jane Goldman,24/7 Wild
127,Predator,"$15,000,000 (estimated)",7.8,402K,Jim Thomas,Anne of the Thousand Days
128,Red Notice,1 hour 58 minutes,6.3,261K,Rawson Marshall Thurber,It Was Still Her Face
129,Spider-Man: Into the Spider-Verse,1 hour 57 minutes,8.4,497K,Peter Ramsey,¡Qué noche de casamiento!
130,The Mummy,"$80,000,000 (estimated)",7.1,422K,Stephen Sommers,Sign of the Ape
131,Batman Begins,"$150,000,000 (estimated)",8.2,1.4M,Bob Kane,Maggie's War (James Megellas: All The Way To Berlin)
132,Star Wars: Episode VIII - The Last Jedi,"$317,000,000 (estimated)",6.9,617K,Rian Johnson,The Hansom Driver
133,21 Bridges,"$33,000,000 (estimated)",6.6,65K,Adam Mervis,Tourette's teacher
134,Apocalypto,"$40,000,000 (estimated)",7.8,309K,Mel Gibson,Las Indetectables
135,Jack Reacher,2 hours 10 minutes,7,336K,Lee Child,The Motel
136,Drive,"$15,000,000 (estimated)",7.8,622K,Hossein Amini,Sarah Brightman: A Christmas Symphony
137,Pirates of the Caribbean: On Stranger Tides,"$250,000,000 (estimated)",6.6,519K,Ted Elliott,Creating a Scene: BBC Introducing Arts
138,Oblivion,"$120,000,000 (estimated)",7,517K,Karl Gajdusek,In the Beginning Was the Image
139,The Hunt,"$14,000,000 (estimated)",6.5,109K,Nick Cuse,The Boston Strangler
140,The Hunt,1 hour 55 minutes,8.3,322K,Tobias Lindholm,Lachrymose Primrose
141,300,"$65,000,000 (estimated)",7.6,806K,Zack Snyder,Lottery of the Sea
142,Suicide Squad,"$175,000,000 (estimated)",5.9,675K,David Ayer,Three Robot Heroes
143,The Dark Knight Rises,"$250,000,000 (estimated)",8.4,1.7M,Jonathan Nolan,The Slovenian Who Flew Through a Century
144,Starship Troopers,"$105,000,000 (estimated)",7.3,291K,Edward Neumeier,Another Chance
