,names,Run Time,imdb_score,val,Writer,film
11999,Bandits,2 hours 3 minutes,6.5,68K,Harley Peyton,Mortal Kombat: Queen
12000,14 Cameras,not-released,4.6,2.9K,Scott Hussion,Soad The Gypsy
12001,Longtime Companion,"$3,000,000 (estimated)",7.6,5.8K,Craig Lucas,The Son of Monte Cristo
12002,Kings,1 hour 26 minutes,5,3.6K,Deniz Gamze Ergüven,Les Musiciens
12003,Trouble Every Day,1 hour 41 minutes,5.9,8.1K,Claire Denis,The New Gladiators
12004,She Ball,not-released,2.8,368,Nick Cannon,3 Boys: Documentary
12005,When the Wind Blows,1 hour 24 minutes,7.7,11K,Raymond Briggs,The Voice
12006,Reptile,not-released,no-rating,0,Benjamin Brewer,Schnitzel Paradise
12007,Flesh and Bone,2 hours 6 minutes,6.2,5.7K,Steve Kloves,Pitong Pasiklab Sa Pulitika
12008,Homebound,1 hour 11 minutes,4.4,339,Sebastian Godwin,The Royal Tenenbaums
12009,Taking Sides,1 hour 48 minutes,7.1,3.4K,Ronald Harwood,C'è una porta nell'ombra nel mondo delle ombre
12010,Sylvie's Love,not-released,6.8,5.8K,Eugene Ashe,Slaves of Hollywood
12011,A Life at Stake,not-released,5.7,765,Russ Bender,The Killing Business
12012,The Case for Christ,1 hour 52 minutes,6.2,9K,Brian Bird,Resilience
12013,Targets,1 hour 30 minutes,7.3,9.8K,Peter Bogdanovich,Sometimes It Felt So Real: A Collaborative Dance Film
12014,Just a Kiss,1 hour 29 minutes,4.9,1.5K,Patrick Breen,Never Again
12015,Film Stars Don't Die in Liverpool,1 hour 45 minutes,6.7,9.8K,Peter Turner,Looking for the Salt
12016,Steal Away,not-released,no-rating,0,Stephen Ashley Blake,Giuseppe Verdi: Rigoletto
12017,Di Di Hollywood,1 hour 36 minutes,3.7,653,Carmen Chaves Gastaldo,The Picnic
12018,Life Partners,1 hour 33 minutes,6.2,8.8K,Susanna Fogel,Helios Electro
12019,And While We Were Here,1 hour 23 minutes,5.7,3.9K,Kat Coiro,Predestinado: Arigó e o Espírito do Dr. Fritz
12020,Saint-Narcisse,not-released,5.3,640,Bruce La Bruce,My Name Is Nobody
12021,The Comfort of Strangers,1 hour 47 minutes,6.3,5.5K,Ian McEwan,Chicken Ranch
12022,Overcomer,"$5,000,000 (estimated)",6.5,4.9K,Alex Kendrick,"Tomorrow, You Pretty Ghost"
12023,A Cowgirl's Song,not-released,5,123,Timothy Armstrong,Collateral Beauty
12024,The Mighty,1 hour 40 minutes,7.2,13K,Rodman Philbrick,The Captain
12025,Captains Courageous,1 hour 57 minutes,8,9.8K,Rudyard Kipling,Rectangular Motion
12026,Wish I Was Here,1 hour 46 minutes,6.6,38K,Adam J. Braff,Return
12027,Experimenter,1 hour 38 minutes,6.6,19K,Michael Almereyda,English language. Second year of study. Rules of etiquette № 1
12028,Two for the Road,1 hour 51 minutes,7.4,13K,Frederic Raphael,El jinete justiciero en retando a la muerte
12029,Mixed Nuts,1 hour 37 minutes,5.4,12K,Nora Ephron,Jean-François and the Meaning of Life
12030,The Last Shift,1 hour 30 minutes,5.7,2.7K,Andrew Cohn,White Trash Whore 39
12031,The Giant Mechanical Man,1 hour 34 minutes,6.7,10K,Lee Kirk,The Mamluks
12032,Last of the Grads,not-released,3.7,674,Collin Kliewe,De Fabeltjeskrant - Het Beste Van Meneer De Raaf
12033,The Bigamist,1 hour 20 minutes,6.8,3.9K,Lawrence B. Marcus,Lioness
12034,The Seasoning House,1 hour 30 minutes,6.1,10K,Paul Hyett,The Cannon
12035,The Wackness,"$6,000,000 (estimated)",6.9,31K,Jonathan Levine,Overwhelmed
12036,Sweetwater,not-released,no-rating,0,Martin Guigui,Double Booked
12037,The Accidental Tourist,2 hours 1 minute,6.7,16K,Anne Tyler,Mozart - Ich hätte München Ehre gemacht
12038,Shining Sex,not-released,4.6,301,Pierre-Claude Garnier,Dus Tola
12039,The Cleansing Hour,1 hour 34 minutes,6,6.3K,Damien LeVeck,Bring Back... Star Trek
12040,Peacock,not-released,6.2,11K,Michael Lander,Apex Predators 2: The Spawning
12041,Another Woman,1 hour 21 minutes,7.2,14K,Woody Allen,Videocabines São Caixas Pretas
12042,The Last Word,1 hour 48 minutes,6.6,8.2K,Stuart Ross Fink,Top Secret Space Experiments
12043,Ben,1 hour 34 minutes,5.3,2.9K,Stephen Gilbert,Wrong Order
12044,SubUrbia,2 hours 1 minute,6.7,9.7K,Eric Bogosian,La banda dei tre
12045,A Night in the Life of Jimmy Reardon,1 hour 30 minutes,5.5,2.8K,William Richert,Honza Nedvěd – 20 let písniček Honzy Nedvěda
12046,The Smell of Us,1 hour 32 minutes,4.8,1.7K,Mathieu Landais,"Santo Daime, Império da Floresta"
12047,Gypsy,"$4,000,000 (estimated)",7.1,6.3K,Arthur Laurents,Casino Secrets
12048,Lavender,not-released,5.3,7.1K,Colin Frizzell,"Achtung, Gefahr!"
12049,The Eyes of My Mother,1 hour 16 minutes,6.2,13K,Nicolas Pesce,Troma's Dead Inside
12050,Miss Violence,1 hour 38 minutes,7.1,8.4K,Alexandros Avranas,Song of the Poet
12051,The Nines,"$63,165",6.2,34K,John August,Sounds From Beneath
12052,Last Summer,1 hour 35 minutes,6.9,1.8K,Evan Hunter,The God of Death
12053,Last Summer,not-released,6.3,2.8K,Ozan Açiktan,Sally - Heiß wie ein Vulkan
12054,My Family,"$5,500,000 (estimated)",7.2,4.2K,Gregory Nava,The Shipping News
12055,The St. Valentine's Day Massacre,1 hour 40 minutes,6.6,4.2K,Howard Browne,Present Continuous / Ha’Chaim Beinataim
12056,200 Cigarettes,1 hour 41 minutes,5.9,15K,Shana Larsen,Noite Escura da Alma
12057,Dr. Bird's Advice for Sad Poets,not-released,6,721,Yaniv Raz,Tough Love 13
12058,Killer's Kiss,1 hour 7 minutes,6.6,24K,Stanley Kubrick,A Brush With Death
12059,The Englishman Who Went Up a Hill But Came Down a Mountain,1 hour 39 minutes,6.6,18K,Ifor David Monger,Agents of the Shadows
12060,Dry Martina,1 hour 35 minutes,5.8,995,Che Sandoval,La Paz
12061,Straight Time,1 hour 54 minutes,7.4,8.7K,Dustin Hoffman,Cup Of Dreams
12062,The Killing of a Chinese Bookie,2 hours 15 minutes,7.3,13K,John Cassavetes,"Minha Música, Minha Terra: Anavitoria"
12063,Flirting,1 hour 39 minutes,7.1,6.1K,John Duigan,Vidas violentas
12064,Buster's Mal Heart,1 hour 36 minutes,6.1,11K,Sarah Adina Smith,"Thrills, Chills and Cleavage"
12065,Andre,1 hour 34 minutes,5.6,6.9K,Harry Goodridge,Panic! At the Disco: The Theatre of Imagination
12066,Rams,"$4,155,492",6.4,2.5K,Jules Duncan,DreamBoy Hotel: Bachelor Party
12067,Rams,1 hour 33 minutes,7.2,14K,Grímur Hákonarson,Sticking Point
12068,Georgia Rule,1 hour 53 minutes,5.8,25K,Mark Andrus,CROSS TALK
12069,Sweet Country,1 hour 53 minutes,6.9,8.5K,David Tranter,Abdul & José
12070,The Banger Sisters,1 hour 38 minutes,5.6,17K,Bob Dolman,Cuisine bourgeoise
12071,Walking on Sunshine,1 hour 37 minutes,5.3,5.6K,Dania Pasquini,"I Love You, I Kill You"
12072,Wander Darkly,not-released,5.7,1.5K,Tara Miele,Nympho Man
12073,The Babe,1 hour 55 minutes,5.9,11K,John Fusco,A Midsummer's Wake
12074,The Tashkent Files,2 hours 14 minutes,8.1,33K,Vivek Agnihotri,Grenada 1940
12075,Extraordinary Measures,"$31,000,000 (estimated)",6.4,17K,Robert Nelson Jacobs,"Golden Book Music Video - Sing, Stretch and Shape Up"
12076,The Big Easy,1 hour 42 minutes,6.5,13K,Daniel Petrie Jr.,Death of a Soldier
12077,Beyto,not-released,6.6,836,Gitta Gsell,The Visit
12078,Breezy,"$750,000 (estimated)",7,5.2K,Jo Heims,PFA
12079,Caravaggio,1 hour 33 minutes,6.5,6K,Derek Jarman,Jollity Farm
12080,"I Love You, Daddy",not-released,6.3,4.3K,Louis C.K.,Moacir
12081,The Silent Twins,not-released,6.8,34,Andrea Seigel,Heavy Blows
12082,Mario,2 hours 4 minutes,7.4,4.3K,Thomas Hess,What Do You Say to a Naked Lady?
12083,Leave Her to Heaven,1 hour 50 minutes,7.6,13K,Jo Swerling,Art Isn't Fair
12084,Leap Year,1 hour 34 minutes,5.9,2.6K,Lucía Carreras,Floating Borderline
12085,Leap Year,"$19,000,000 (estimated)",6.4,103K,Deborah Kaplan,Lumina
12086,Inherit the Wind,"$2,000,000 (estimated)",8.1,30K,Nedrick Young,"Real Love (Yes, It's Real Love!)"
12087,Innocence,not-released,6.8,5.9K,Lucile Hadzihalilovic,Twin Cheeks 2
12088,The Three Burials of Melquiades Estrada,2 hours 1 minute,7.3,40K,Guillermo Arriaga,Japan's Tsunami: Caught on Camera
12089,Untitled Alien Prequel,not-released,no-rating,0,Dan O'Bannon,A Serial Fucker
12090,Rockstar,2 hours 39 minutes,7.7,44K,Imtiaz Ali,Alpenjuwelen – Zu Fuß von der Zugspitze nach Bozen
12091,Elegy,"$13,000,000 (estimated)",6.7,23K,Nicholas Meyer,The Worm Turns
12092,The Storied Life of A.J. Fikry,not-released,no-rating,0,Gabrielle Zevin,Fabrizio Copano: solo pienso en mí
12093,Pride and Glory,"$30,000,000 (estimated)",6.6,61K,Joe Carnahan,Arco Iris de Andalucía
12094,Haseen Dillruba,not-released,6.9,26K,Kanika Dhillon,Taya
12095,Mojave,1 hour 33 minutes,5.2,5K,William Monahan,Frosty Flakes
12096,Until September,1 hour 35 minutes,5.7,721,Janice Lee Graham,My Kingdom for a Pickle
12097,Ashes in the Snow,1 hour 38 minutes,6.5,6.3K,Ben York Jones,Legends & Starlets 3
12098,Scorned,not-released,5.1,1.8K,Barry Avrich,"Jeff ""Big Daddy"" Wayne: Big Daddy Kicks It"
12099,Children of the Damned,"$1,000,000",6.2,4.5K,John Briley,The Thriller
12100,Deliver Us from Eva,1 hour 45 minutes,6,7.2K,James Iver Mattson,Girlfriendz 3
12101,A Summer Place,"$21,409",6.9,3.3K,Sloan Wilson,Beneath the Veneer of a Murder
12102,Bulworth,1 hour 48 minutes,6.8,26K,Warren Beatty,Operation Blue Jay
12103,Submergence,1 hour 52 minutes,5.4,8.5K,Erin Dignam,700 Sharks
12104,Esterno notte,5 hours 30 minutes,8.1,230,Marco Bellocchio,NOISE
12105,Don't Let Go,1 hour 43 minutes,6.3,11K,Jacob Estes,The Contract
12106,The Incal,not-released,no-rating,0,Jemaine Clement,The Blacksmith's Apprentice
12107,Smyrni mou agapimeni,not-released,7.8,756,Mimi Denissi,Zbudujemy socjalizm
12108,Dunki,not-released,no-rating,0,Kanika Dhillon,Gérald K. Gérald
12109,The Cincinnati Kid,1 hour 42 minutes,7.2,17K,Sam Peckinpah,Local H: 68 Angry Minutes
12110,Where the Boys Are,1 hour 39 minutes,6.6,2.7K,George Wells,The Legend of Ghost Festival
12111,Virginia,1 hour 51 minutes,5.4,2.2K,Dustin Lance Black,WayWard Manor
12112,The Year of Spectacular Men,not-released,5.6,1.6K,Madelyn Deutch,Dog Park
12113,Snack Bar Budapest,not-released,4.1,738,Tinto Brass,Pavarotti and Levine in Recital
12114,The Little Stranger,1 hour 51 minutes,5.5,10K,Lucinda Coxon,When We Were Twenty-One
12115,45 Years,1 hour 31 minutes,7,33K,Andrew Haigh,Esther
12116,Red Dot,not-released,5.5,13K,Alain Darborg,Wenn die Jungfrau mit dem Stier
12117,Biloxi Blues,"$20,000,000 (estimated)",6.6,16K,Neil Simon,Old Hat
12118,"Like Father, Like Son",2 hours 1 minute,7.8,25K,Hirokazu Koreeda,RUMBLE ROSES XX Original Soundtrack DVD
12119,"Like Father, Like Son",not-released,6,844,Duke Mitchell,"Alonzo Bodden: Tall, Dark and Funny"
12120,Hours,"$4,000,000 (estimated)",6.3,30K,Eric Heisserer,Released
12121,Cul-de-sac,"$1,500",7,13K,Roman Polanski,Passé-composé
12122,Undercover,2 hours 1 minute,6,263,Jeanne Aptekman,Groot Takes a Bath
12123,Undercover,1 hour 1 minute,6.1,418,Jack Carson,Report Inzest # 10
12124,Lost Horizon,"$4,000,000 (estimated)",7.6,13K,Robert Riskin,Deux nuit jusqu'au matin
12125,When Time Got Louder,not-released,no-rating,0,Connie Cocchia,Exodus Stories
12126,One Eight Seven,1 hour 59 minutes,6.6,24K,Scott Yagemann,Golden Daddy
12127,Twentynine Palms,1 hour 59 minutes,5.1,4.8K,Bruno Dumont,Borderlands
12128,The Football Factory,"$1,228,003",6.8,31K,John King,Whispering Lions
12129,Stay Hungry,not-released,5.6,4.5K,Charles Gaines,Banaras
12130,Bobby,"$14,000,000 (estimated)",7,42K,Emilio Estevez,La faute de Monique
12131,Half Brothers,1 hour 36 minutes,6,2.6K,Ali LeRoi,"Ladies and Gentlemen, My Name Is Paul Heyman"
12132,Puzhu,not-released,6.3,2.3K,Harshad,"Honour, Profit & Pleasure"
12133,Carandiru,2 hours 25 minutes,7.5,20K,Hector Babenco,The Midnight Wedding
12134,The Air I Breathe,"$10,000,000 (estimated)",6.7,34K,Jieho Lee,Fury of Shaolin Fist
12135,Brassed Off,1 hour 48 minutes,7.2,20K,Mark Herman,Father's Day
12136,As You Like It,2 hours 7 minutes,6.1,3.4K,Kenneth Branagh,Ilusión Nacional
12137,Wind Chill,1 hour 31 minutes,5.8,23K,Joe Gangemi,Poslední vlak
12138,In the Land of Blood and Honey,2 hours 7 minutes,4.6,34K,Angelina Jolie,Our Precious Hope: St. Louis' Little Jane Doe Revisited
12139,The Children Act,1 hour 45 minutes,6.7,13K,Ian McEwan,Westlife: Live At Wembley
12140,Black Flies,not-released,no-rating,0,Ben Mac Brown,Emfucknadas
12141,Chehre,2 hours 19 minutes,6.5,27K,Rumi Jaffery,Ninja Assassin
12142,Jab Harry Met Sejal,2 hours 23 minutes,5,21K,Imtiaz Ali,Lan Yu
12143,Godmothered,not-released,6.1,12K,Kari Granlund,Ultimo stadio
12144,Green Card,1 hour 47 minutes,6.3,24K,Peter Weir,The Space-Fighter
12145,2050,not-released,3.7,914,Brian Ackley,Ms. Velma's Most Incredibly Magnificent Christmas Week
12146,The Tunnel,1 hour 45 minutes,6,5K,Kjersti Helen Rasmussen,Dumb Warfare: End of the Road
12147,The Tunnel,1 hour 34 minutes,5.8,21K,Enzo Tedeschi,Victor Borge: Then & Now
12148,Churchill,1 hour 45 minutes,6.1,17K,Alex von Tunzelmann,Tell Me About Your Darkness
12149,Presenting Lily Mars,1 hour 44 minutes,6.8,1.1K,Booth Tarkington,Die beiden Nachtwandler oder Das Notwendige und das Überflüssige
12150,Three Christs,1 hour 49 minutes,6.2,2.7K,Eric Nazarian,Basic Emotions
12151,Barfi!,2 hours 31 minutes,8.1,81K,Anurag Basu,A Letter From Bataan
12152,Pride and Prejudice,1 hour 58 minutes,7.4,8.4K,Aldous Huxley,The Crown Against Mafavuke
12153,November Criminals,not-released,5.3,9K,Steven Knight,Canon: Urban Deer
12154,Unplanned,1 hour 49 minutes,5.6,14K,Cary Solomon,I Wish I Were in Polynesia
12155,Not Since You,1 hour 30 minutes,5.4,2K,Jane Kelly Kosek,Vražda před večeří
12156,Anbe Sivam,not-released,8.7,21K,Kamal Haasan,Act V.
12157,Times Square,1 hour 51 minutes,6.5,1.7K,Jacob Brackman,Samurai Zombie
12158,Diana,1 hour 53 minutes,5.5,20K,Stephen Jeffreys,Bob Dylan - Live At The House Of Blues
12159,Tango Shalom,1 hour 55 minutes,5.9,322,Joseph Bologna,Four Hours to Kill!
12160,Dil Dhadakne Do,2 hours 50 minutes,7,18K,Zoya Akhtar,Damat Takımı
12161,Here Before,1 hour 23 minutes,5.8,685,Stacey Gregg,Liberated Earth
12162,Anywhere But Here,1 hour 54 minutes,6.1,18K,Mona Simpson,Don't Fade Away
12163,Hooking Up,not-released,5.5,2K,Nico Raineau,Stakes
12164,Lonely Planet,not-released,no-rating,0,Susannah Grant,Busted
12165,Pink,2 hours 16 minutes,8.1,44K,Shoojit Sircar,Anal Newbies 9
12166,The Last of Sheila,2 hours,7.2,6.5K,Stephen Sondheim,A Stranger
12167,Little Ashes,"€2,500,000 (estimated)",6.4,9.2K,Philippa Goslett,A Walk With Harry
12168,Sublime,not-released,7.3,60,Mariano Biasin,Chernobyl: The Last Battle of the USSR
12169,Eighty for Brady,not-released,no-rating,0,Emily Halpern,Robes of War
12170,The Juror,1 hour 58 minutes,5.7,19K,George Dawes Green,Falas de Orgulho
12171,The Best Man Holiday,2 hours 3 minutes,6.6,16K,Malcolm D. Lee,A Species Odyssey
12172,The Invisible,"$30,000,000 (estimated)",6.1,36K,Mick Davis,Flesh Avenue
12173,The Other Me,not-released,4.3,252,Giga Agladze,Albino Africa
12174,The Other Me,1 hour 41 minutes,7.9,11K,Pigmalion Dadakaridis,En la tierra de los Awuajunti
12175,Rules Don't Apply,2 hours 7 minutes,5.7,11K,Warren Beatty,Thumbelina and the Ogre
12176,Talaash,2 hours 20 minutes,7.2,42K,Priyamvada Narayanan,Tease Please Orgy
12177,Journey's End,1 hour 47 minutes,6.7,9.8K,Simon Reade,The Sexual Appetite of a Young Petite 5
12178,Living,not-released,7.6,96,Kazuo Ishiguro,Back and Forth Day
12179,New Rose Hotel,1 hour 33 minutes,5.1,5.4K,William Gibson,dIYOS-DIYOSAn
12180,Defendor,1 hour 41 minutes,6.8,37K,Peter Stebbings,In Frame: The Man Behind the Museum Hotels
12181,Dolphin Tale 2,1 hour 47 minutes,6.3,9.2K,Charles Martin Smith,Snowy Shaw: The Liveshow
12182,Scarlet Street,"$1,202,007 (estimated)",7.8,17K,Georges de La Fouchardière,Follow Me: The Yoni Netanyahu Story
12183,Slalom,1 hour 32 minutes,6.6,1.8K,Charlène Favier,Wormhole In The Washer
12184,Edtv,2 hours 2 minutes,6.1,43K,Émile Gaudreault,"TODAY IS A VERY SPECIAL DAY, some-times"
12185,Home Run,1 hour 53 minutes,5.8,3K,Brian Brightly,Dveře
12186,Loft,1 hour 58 minutes,7.3,23K,Bart De Pauw,Terror Telly: Chopping Channels
12187,The Roads Not Taken,1 hour 25 minutes,5.2,2.2K,Sally Potter,A Day with John Burroughs
12188,Amateur,not-released,5.9,4.4K,Ryan Koo,Triumph des guten Willens
12189,Starter for 10,1 hour 32 minutes,6.7,23K,David Nicholls,Pint Sized Cock Pocket 11
12190,Italian Studies,1 hour 21 minutes,4.7,494,Adam Leon,The Dummy
12191,The Last Vermeer,1 hour 58 minutes,6.7,3.5K,John Orloff,"Natzrat ""The Beginning"""
12192,The End of the Affair,1 hour 42 minutes,7,23K,Graham Greene,La mirada violeta
12193,Hush,1 hour 36 minutes,5.4,12K,Jonathan Darby,"Ligne de Belfast à Kingstown, II"
12194,Kal Ho Naa Ho,3 hours 6 minutes,7.9,68K,Niranjan Iyengar,EFW6: Winner Fucks Loser - Lez Edition
12195,Introspectum Motel,1 hour 28 minutes,3.9,660,Ian Armer,Sweeping Against the Winds
12196,It Is in Us All,not-released,6.5,25,Antonia Campbell-Hughes,Matinee Ladies
12197,Hope and Glory,1 hour 53 minutes,7.3,14K,John Boorman,Derren Brown: Sacrifice
12198,"Ladies and Gentlemen, the Fabulous Stains",1 hour 27 minutes,6.7,2.7K,Nancy Dowd,CamGirlFarm 2 - Die MILF macht's
12199,We Broke Up,1 hour 20 minutes,4.9,1.1K,Jeff Rosenberg,Wild Burro of the West
12200,The Wild One,1 hour 19 minutes,6.8,16K,John Paxton,Le bateau du père
12201,The Grizzlies,1 hour 42 minutes,7.4,2.2K,Moira Walley-Beckett,Queer Movie Beautiful
12202,The 300 Spartans,"£500,000 (estimated)",6.5,7.2K,George St. George,Pawel i Wawel
12203,Highway,2 hours 13 minutes,7.6,29K,Imtiaz Ali,John Peel's Dandelion Records
12204,King Rat,not-released,7.5,4.6K,James Clavell,Colombe
12205,Violation,not-released,5.4,3.7K,Madeleine Sims-Fewer,My Generation
12206,633 Squadron,1 hour 42 minutes,6.3,4.1K,James Clavell,The Lease
12207,Made,1 hour 35 minutes,6.3,19K,Jon Favreau,Fascist Legacy
12208,Man Down,1 hour 30 minutes,5.9,10K,Adam G. Simon,Wake Up
12209,How to Plan an Orgy in a Small Town,1 hour 41 minutes,5.4,3.3K,Jeremy LaLonde,Raja Vikramarka
12210,The Vanishings at Caddo Lake,not-released,no-rating,0,Celine Held,Counting Tigers
12211,The Beyond,not-released,4.8,6.3K,Hasraf Dulull,BKFC Thailand 5
12212,The Beyond,"$400,000 (estimated)",6.6,23K,Dardano Sacchetti,El fanático
12213,Dark River,1 hour 30 minutes,5.8,3.9K,Clio Barnard,여직원들 ： 2대2 스와핑
12214,Aviva,not-released,5.2,376,Boaz Yakin,My Own Love Song
12215,Grand Piano,"$22,555",5.9,19K,Damien Chazelle,Your Pushkin
12216,Julius Caesar,2 hours,7.2,12K,William Shakespeare,Aloneliness
12217,The Weight of Water,1 hour 54 minutes,5.8,9.5K,Anita Shreve,Holidays
12218,City Hall,1 hour 51 minutes,6.2,21K,Ken Lipper,Liebesträume
12219,The Rest of Us,"CA$1,600,000 (estimated)",6.2,1K,Alanna Francis,A Case of Conscience
12220,The War,2 hours 6 minutes,6.7,13K,Kathy McWorter,Once a Doctor
12221,Madame,1 hour 31 minutes,6.1,7.7K,Amanda Sthers,Naughty Office 30
12222,Conviction,1 hour 47 minutes,7.2,44K,Pamela Gray,The Unleashed Blaze
12223,Running with Scissors,1 hour 56 minutes,6.1,23K,Ryan Murphy,23 Barbiepuppen kippen um
12224,Pieces of April,1 hour 20 minutes,7,21K,Peter Hedges,2023 Dream Concert
12225,Obvious Child,1 hour 24 minutes,6.7,25K,Gillian Robespierre,As in Heaven
12226,City Island,1 hour 44 minutes,7.4,32K,Raymond De Felitta,Pachchak Kuthira
12227,Prince of the City,2 hours 47 minutes,7.4,8.3K,Jay Presson Allen,Doblez
12228,Nathalie...,1 hour 40 minutes,6.3,4.7K,Philippe Blasband,Here Today
12229,A Soldier's Story,"$6,000,000 (estimated)",7.2,10K,Charles Fuller,The 'Bathroom' Agreement
12230,Bloody Sunday,"£2,000,000 (estimated)",7.6,25K,Paul Greengrass,Trial of Midnight Rider: Railroaded in the Deep South
12231,Cut Bank,1 hour 33 minutes,6.1,13K,Roberto Patino,El vividor
12232,Joji,not-released,7.8,9.6K,Syam Pushkaran,The Ultimate Underground Amateur Slaughterfest of Death
12233,Flicka,1 hour 35 minutes,6,8K,Mark Rosenthal,死神の刃
12234,A Guide to Recognizing Your Saints,1 hour 40 minutes,6.9,26K,Dito Montiel,"Chutzpah, This Is?"
12235,Ace in the Hole,"$1,800,000 (estimated)",8.1,36K,Billy Wilder,Lithuania in the Second World War. Film documents
12236,Breaking Fast,not-released,6.5,2.9K,Mike Mosallam,Becoming Ms Bennet: Pride & Prejudice
12237,The Delinquent Season,1 hour 43 minutes,6.4,1.7K,Mark O'Rowe,Kinder und andere Baustellen
12238,Dear White People,1 hour 48 minutes,6.1,27K,Justin Simien,Bottom of the 9th: Little Big League 3
12239,The Godmother,not-released,no-rating,0,Regina Corrado,Be Inspired: The Life of Heavy D
12240,Carmen,not-released,no-rating,0,Loïc Barrere,Plantin' Seed
12241,Gone Mom,not-released,6.2,348,Richard Blaney,Li Siguang
12242,Tahara,1 hour 18 minutes,6.3,65,Jess Zeidman,Sedam sati udara
12243,Sweet Bird of Youth,2 hours,7.2,7.7K,Tennessee Williams,Suck My Balls
12244,Robin and Marian,"$5,000,000 (estimated)",6.5,13K,James Goldman,L'enfant
12245,The Boxer,"$5,980,578",7,21K,Jim Sheridan,Amber Skies
12246,Twisted,1 hour 37 minutes,5.3,22K,Sarah Thorp,Xibalbá
12247,Igby Goes Down,1 hour 38 minutes,6.9,33K,Burr Steers,Bigard - Best of
12248,National Theatre Live: Henry V,not-released,8.2,20,William Shakespeare,Two Brothers: Dō bharā
12249,Blue Collar,1 hour 54 minutes,7.5,8.7K,Paul Schrader,Tragic Night
12250,She Dies Tomorrow,1 hour 26 minutes,5.1,6.2K,Amy Seimetz,Riders of the Santa Fe
12251,Latter Days,"$850,000 (estimated)",7,18K,C. Jay Cox,The Mask
12252,Chapter 27,"CA$5,000,000 (estimated)",5.6,11K,J.P. Schaefer,3G
12253,Separate Tables,1 hour 40 minutes,7.4,7.7K,Terence Rattigan,Creampie Temptation: Seduced by Sister-in-Law With Voluptuous Body Asahi Mizuno
12254,Toxikoma,2 hours 4 minutes,7.1,1.7K,Márton Bárány,The Plains
12255,Mandela: Long Walk to Freedom,"$35,000,000 (estimated)",7.1,28K,William Nicholson,The Geometry of Beware
12256,The Return,"$504,256",7.9,45K,Vladimir Moiseenko,2CD
12257,The Return,"$15,000,000 (estimated)",4.6,12K,Adam Sussman,Wobble: The Weight of the Truth
12258,Free Willy 3: The Rescue,1 hour 26 minutes,4.7,10K,Keith Walker,La lune
12259,The Great Santini,1 hour 55 minutes,7.1,6.3K,Pat Conroy,The Junior Olsen Gang and the Black Gold
12260,The French Lieutenant's Woman,"$26,890,068",6.9,14K,John Fowles,Descended
12261,True Things,1 hour 42 minutes,6,384,Deborah Kay Davies,P.O.V: Point of View
12262,Valentino,2 hours 8 minutes,6.1,1.9K,Ken Russell,GCW: Slime Language
12263,Chhichhore,2 hours 23 minutes,8.2,51K,Piyush Gupta,Spacer pod psem
12264,Monkey Shines,"$7,000,000 (estimated)",6.2,12K,Michael Stewart,Tresnoitado
12265,Taking Woodstock,"$30,000,000 (estimated)",6.7,29K,James Schamus,F*ck
12266,Pada,2 hours 10 minutes,7.9,2.2K,Kamal K.M.,Die Fliegen (The Birds II)
12267,Karla,1 hour 39 minutes,5.4,6.1K,Michael D. Sellers,Christmas Balloon
12268,Jean de Florette,2 hours,8.1,26K,Marcel Pagnol,My Bill
12269,The Girl Who Believes in Miracles,1 hour 40 minutes,5.4,787,Richard Correll,You Will Never Walk Alone
12270,Not Cinderella's Type,not-released,6.1,2.6K,Jenni James,Kansas City's Spring Clean-up
12271,The Chamber,1 hour 53 minutes,6,15K,John Grisham,Asyad Wa Abeed
12272,Goya's Ghosts,1 hour 53 minutes,6.9,31K,Milos Forman,The Secretary 2
12273,Queen,2 hours 26 minutes,8.1,65K,Vikas Bahl,Lonely Together
12274,Talvar,2 hours 12 minutes,8.1,35K,Vishal Bhardwaj,Dos nacos en el planeta de las mujeres
12275,We Need to Talk,1 hour 23 minutes,6,104,Todd Wolfe,창부일색
12276,What About Love,not-released,no-rating,0,Klaus Menzel,Five Riders vs. King Dark
12277,The Unbreakable Boy,not-released,no-rating,0,Jon Gunn,Rašytojas
12278,Ivanhoe,1 hour 46 minutes,6.8,9.2K,Noel Langley,Eine Mutter für Anna
12279,Baked in Brooklyn,1 hour 26 minutes,5.4,3.4K,David Shapiro,His Life's Match
12280,The Man Who Sold His Skin,1 hour 44 minutes,6.9,5.6K,Kaouther Ben Hania,Camp Belvidere
12281,High Flying Bird,1 hour 30 minutes,6.2,8.6K,Tarell Alvin McCraney,Trizombie
12282,Something to Talk About,1 hour 46 minutes,5.7,15K,Callie Khouri,Article 99
12283,The Daughter,1 hour 36 minutes,6.6,5.3K,Simon Stone,Signal 30
12284,The Daughter,2 hours 2 minutes,6.3,550,Alejandro Hernández,Stuck
12285,One More Time,1 hour 38 minutes,5,3.2K,Robert Edwards,Toy Story 2
12286,Cry Freedom,2 hours 37 minutes,7.4,13K,Donald Woods,Papa
12287,The Visitor,"$4,000,000 (estimated)",7.6,43K,Tom McCarthy,Doggo in a Bowl
12288,The Visitor,1 hour 48 minutes,5.1,3.8K,Luciano Comici,Nishobdotar Shohor
12289,Iris,1 hour 31 minutes,7,18K,John Bayley,The Scene
12290,Charly,"$15,826,800",7,6.7K,Daniel Keyes,The Million Dollar Mystery
